Simulator, Ruleset, Y Dimension, X Dimension, Density, Mean frames simulated 
Parallelised vertical segmentation with pixel zoning, Conway,10,10,0.6,12
Parallelised vertical segmentation with pixel zoning, Conway,10,10,0.8,12
Parallelised vertical segmentation with pixel zoning, Conway,10,100,0,12
Parallelised vertical segmentation with pixel zoning, Conway,10,100,0.2,12
Parallelised vertical segmentation with pixel zoning, Conway,10,100,0.4,12
Parallelised vertical segmentation with pixel zoning, Conway,10,100,0.6,12
Parallelised vertical segmentation with pixel zoning, Conway,10,100,0.8,12
Parallelised vertical segmentation with pixel zoning, Conway,100,10,0,12
Parallelised vertical segmentation with pixel zoning, Conway,100,10,0.2,12
Parallelised vertical segmentation with pixel zoning, Conway,100,10,0.4,12
Parallelised vertical segmentation with pixel zoning, Conway,100,10,0.6,12
Parallelised vertical segmentation with pixel zoning, Conway,100,10,0.8,11
Parallelised vertical segmentation with pixel zoning, Conway,100,100,0,12
Parallelised vertical segmentation with pixel zoning, Conway,100,100,0.2,12
Parallelised vertical segmentation with pixel zoning, Conway,100,100,0.4,11
Parallelised vertical segmentation with pixel zoning, Conway,100,100,0.6,12
Parallelised vertical segmentation with pixel zoning, Conway,100,100,0.8,12
